CombinID,Player,Position,Height,Date_birth,Nationality,Website_player,Website_picture
20203955,T. Shengelia,Ala-pivot,"2,06",05/10/1991,Georgia,http://www.acb.com/jugador/temporada-a-temporada/id/20203955,http://static.acb.com/img/41/2d/13/162480pre8036.jpg
20212455,P. Garino,Alero,"1,96",17/05/1993,Argentina,http://www.acb.com/jugador/temporada-a-temporada/id/20212455,http://static.acb.com/img/d/46/13/62489pre867.jpg
20212961,S. Shields,Alero,"2,01",05/06/1994,EE.UU.,http://www.acb.com/jugador/temporada-a-temporada/id/20212961,http://www.acb.com/fotos_cara/jugadores/J57HLACB63.jpg
30000070,A. Polonara,Ala-pivot,"2,02",23/11/1991,Italia,http://www.acb.com/jugador/temporada-a-temporada/id/30000070,http://static.acb.com/img/5f/4b/52/283417pre34809.jpg
20212218,M. Eric,Pivot,"2,10",24/06/1988,Nigeria,http://www.acb.com/jugador/temporada-a-temporada/id/20212218,http://static.acb.com/img/3b/5a/58/162045pre8060.jpg
20212435,P. Pressey,Base,"1,80",17/02/1991,EE.UU.,http://www.acb.com/jugador/temporada-a-temporada/id/20212435,http://static.acb.com/img/35/25/16/164046pre9645.jpg
30000056,N. Dangubic,Alero,"2,04",13/04/1993,Serbia,http://www.acb.com/jugador/temporada-a-temporada/id/30000056,http://static.acb.com/img/20/3b/34/163959pre8084.jpg
20209846,J. Tello,Ala-pivot,"2,03",11/05/1985,Colombia,http://www.acb.com/jugador/temporada-a-temporada/id/20209846,http://static.acb.com/img/e/a/6/163740pre8090.jpg
20211742,K. Sow,Alero,"2,10",13/09/1999,Senegal,http://www.acb.com/jugador/temporada-a-temporada/id/20211742,http://static.acb.com/img/1d/39/9/163884pre8096.jpg
20212250,A. Solá,Escolta,"1,93",27/07/2000,España,http://www.acb.com/jugador/temporada-a-temporada/id/20212250,http://static.acb.com/img/1c/45/a/287551pre35598.jpg
20209919,D. Brizuela,Escolta,"1,88",08/11/1994,España,http://www.acb.com/jugador/temporada-a-temporada/id/20209919,http://static.acb.com/img/5d/35/8/291106pre35740.jpg
30000057,D. Dukan,Ala-pivot,"2,08",04/12/1991,Croacia,http://www.acb.com/jugador/temporada-a-temporada/id/30000057,http://static.acb.com/img/1d/3f/56/163209pre8120.jpg
30000058,P. Scrubb,Escolta,"1,94",27/11/1992,Canadá,http://www.acb.com/jugador/temporada-a-temporada/id/30000058,http://static.acb.com/img/30/47/3f/164169pre8126.jpg
20212871,D. Giedraitis,Escolta,"1,92",17/08/2000,Lituania,http://www.acb.com/jugador/temporada-a-temporada/id/20212871,http://static.acb.com/img/e/25/22/287959pre36353.jpg
30000075,K. Kadji,Ala-pivot,"2,11",19/05/1988,Camerún,http://www.acb.com/jugador/temporada-a-temporada/id/30000075,http://static.acb.com/img/60/4e/6/163830pre8075.jpg
20200296,V. Arteaga,Pivot,"2,14",07/07/1992,España,http://www.acb.com/jugador/temporada-a-temporada/id/20200296,http://static.acb.com/img/12/2/35/288508pre36365.jpg
20211451,N. Dimitrijevic,Base,"1,90",23/02/1998,MacedoniadelNorte,http://www.acb.com/jugador/temporada-a-temporada/id/20211451,http://static.acb.com/img/14/8/10/282925pre34677.jpg
20211754,P. Busquets,Escolta,"1,97",02/03/1999,España,http://www.acb.com/jugador/temporada-a-temporada/id/20211754,http://static.acb.com/img/www/jugadores2021/RS362333_alt_55391.jpg
20212265,J. Parra,Alero,"2,02",04/04/2000,España,http://www.acb.com/jugador/temporada-a-temporada/id/20212265,http://static.acb.com/img/12/54/a/282835pre34719.jpg
20211660,López-Arostegui,Alero,"2,00",19/05/1997,España,http://www.acb.com/jugador/temporada-a-temporada/id/20211660,http://static.acb.com/img/12/32/11/283312pre34701.jpg
20212954,K. Prepelic,Escolta,"1,91",20/10/1992,Eslovenia,http://www.acb.com/jugador/temporada-a-temporada/id/20212954,http://static.acb.com/img/51/2f/2a/292543pre35639.jpg
30000027,K. Kanter,Pivot,"2,06",29/04/1995,Turquía,http://www.acb.com/jugador/temporada-a-temporada/id/30000027,http://static.acb.com/img/56/6/3d/147577pre5893.jpg
20200247,A. Ventura,Escolta,"1,92",07/04/1992,España,http://www.acb.com/jugador/temporada-a-temporada/id/20200247,http://static.acb.com/img/3d/4/35/282367pre34695.jpg
20210225,N. Zisis,Base,"1,95",16/08/1983,Grecia,http://www.acb.com/jugador/temporada-a-temporada/id/20210225,http://www.acb.com/fotos_cara/jugadores/J220LACB57.jpg
20211618,A. Omic,Pivot,"2,16",06/05/1992,BosniaH.,http://www.acb.com/jugador/temporada-a-temporada/id/20211618,http://static.acb.com/img/0/5c/7/147304pre5923.jpg
20212474,A. Zagars,Base,"1,90",21/04/2000,Letonia,http://www.acb.com/jugador/temporada-a-temporada/id/20212474,http://static.acb.com/img/3/6/4/147382pre5911.jpg
20212423,S. Birgander,Pivot,"2,09",23/10/1997,Suecia,http://www.acb.com/jugador/temporada-a-temporada/id/20212423,http://static.acb.com/img/12/60/4f/283186pre34743.jpg
20211303,L. Harangody,Pivot,"2,03",02/01/1988,EE.UU.,http://www.acb.com/jugador/temporada-a-temporada/id/20211303,http://static.acb.com/img/48/7/40/82549pre3254.jpg
